#step,#updates,reviewer id,reviewer type,bid req,bidder selected,paper id,private_cost,previous demand,new demand,price,seen price,total seen price,previous bid,bid,positive bid,allocation,step 1 allocation,step 2 allocation,step 3 allocation,realized cost,total bid,total price,total realized cost,matching algorithm
4,0,0,UniformBidder,8,True,0,0.40474492755964775,TBD,1.0,1,TBD,0,TBD,1.0,1,0.8125,1.0,0.8125,0.8125,0.3288552536422138,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,1,3.1129788522040034,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,2,7.152018098724376,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,3,0.0,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,4,6.49370827357277,TBD,2.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,5,2.7104103122595786,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,6,0.0,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,7,4.960833865930199,TBD,2.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,8,2.3005669076477755,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,9,2.5157467121518,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,10,3.7333861479385755,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,11,0.0,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,12,4.341664884145883,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,13,2.354394332059072,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,14,1.1551207671020922,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,15,7.859242434556574,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,16,5.959086751932838,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,17,0.0,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
4,0,0,UniformBidder,8,True,18,1.1240683238667308,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.478954642809632,FractionalAllocation
