#step,#updates,reviewer id,reviewer type,bid req,bidder selected,paper id,private_cost,previous demand,new demand,price,seen price,total seen price,previous bid,bid,positive bid,allocation,step 1 allocation,step 2 allocation,step 3 allocation,realized cost,total bid,total price,total realized cost,matching input json file
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,0,0.40474492755964775,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.052792816638214925,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,1,3.1129788522040034,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.4060407198526961,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,2,7.152018098724376,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.9328719259205708,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,3,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,4,6.49370827357277,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.8470054269877525,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,5,2.7104103122595786,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.35353177985994505,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,6,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,7,4.960833865930199,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.6470652868604607,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,8,2.3005669076477755,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.30007394447579677,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,9,2.5157467121518,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.3281408754980608,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,10,3.7333861479385755,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.48696341060068377,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,11,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,12,4.341664884145883,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.5663041153233761,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,13,2.354394332059072,0.0,1.0,1,1,0.0,0.0,0.0,0,0.0951086956521739,0.0,0.0,0.0951086956521739,0.22392337397300954,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,14,1.1551207671020922,0.0,1.0,1,1,0.0,0.0,0.0,0,0.0951086956521739,0.0,0.0,0.0951086956521739,0.10986202947981855,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,15,7.859242434556574,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,1.0251185784204226,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,16,5.959086751932838,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.777272185034718,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,17,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,18,1.1240683238667308,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.14661760746087793,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,19,7.53314764909758,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.9825844759692495,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,20,5.682050372792104,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.7411370051467961,0.0,0.0,24.597241708643406,sim_input.json
0,0,0,<bidder.IntegralGreedyBidder object at 0x000002B9F0AE54E0>,8,False,21,3.9064689749940946,0.0,0.0,1,1,0.0,0.0,0.0,0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.5095394315209688,0.0,0.0,24.597241708643406,sim_input.json
