#step,#updates,reviewer id,reviewer type,bid req,bidder selected,paper id,private_cost,previous demand,new demand,price,seen price,total seen price,previous bid,bid,positive bid,allocation,step 1 allocation,step 2 allocation,step 3 allocation,realized cost,total bid,total price,total realized cost,matching algorithm
4,0,0,IntegralGreedyBidder,6,False,0,0.40474492755964775,TBD,1.0,1,TBD,0,TBD,0.0,0,0.10317460317460317,0.0,0.0,0.10317460317460317,0.041759397287900166,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,1,3.1129788522040034,TBD,1.0,1,TBD,0,TBD,0.0,0,0.10317460317460317,0.0,0.0,0.10317460317460317,0.3211803577670797,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,2,7.152018098724376,TBD,1.0,1,TBD,0,TBD,0.0,0,0.10317460317460317,0.0,0.0,0.10317460317460317,0.7379066292334674,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,3,0.0,TBD,1.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,4,6.49370827357277,TBD,0.0,1,TBD,0,TBD,0.0,0,0.15476190476190477,0.0,0.0,0.15476190476190477,1.004978661386262,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,5,2.7104103122595786,TBD,0.0,1,TBD,0,TBD,0.0,0,0.15476190476190477,0.0,0.0,0.15476190476190477,0.4194682626116015,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,6,0.0,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,7,4.960833865930199,TBD,1.0,1,TBD,0,TBD,0.0,0,0.10317460317460317,0.0,0.0,0.10317460317460317,0.5118320655324808,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,8,2.3005669076477755,TBD,0.0,1,TBD,0,TBD,0.0,0,0.15476190476190477,0.0,0.0,0.15476190476190477,0.3560401166597748,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,9,2.5157467121518,TBD,1.0,1,TBD,0,TBD,0.0,0,0.10317460317460317,0.0,0.0,0.10317460317460317,0.2595611687140746,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,10,3.7333861479385755,TBD,0.0,1,TBD,0,TBD,0.0,0,0.15476190476190477,0.0,0.0,0.15476190476190477,0.5777859514666843,0.0,0.0,25.48781566956235,FractionalAllocation
4,0,0,IntegralGreedyBidder,6,False,11,0.0,TBD,0.0,1,TBD,0,TBD,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48781566956235,FractionalAllocation
